Start time,End time,A6_Upper_Bus_PhaseA,A6_Upper_Bus_PhaseB,A6_Upper_Bus_PhaseC,A6_Lower_Bus_PhaseA,A6_Lower_Bus_PhaseB,A6_Lower_Bus_PhaseC,A6_Outgoing_PhaseA,A6_Outgoing_PhaseB,A6_Outgoing_PhaseC,PD_Max_Upper,PD_Max_Lower,PD_Max_Spout,PD_Max_Outgoing
2019-09-01 00:00:00,2019-09-01 00:05:00,25.309648,25.189647,25.89,25.4,25.300001,25.070006,25.609998,25.452335,25.399646,0.0,0.0,0.0,0.0
2019-09-01 00:05:00,2019-09-01 00:10:00,25.300001,25.190355,25.889646,25.4,25.300001,25.072344,25.607659,25.440354,25.370357,0.0,0.0,0.0,0.0
2019-09-01 00:10:00,2019-09-01 00:15:00,25.280001,25.159645,25.883051,25.4,25.300001,25.077662,25.612339,25.477302,25.380002,0.0,0.0,0.0,0.0
2019-09-01 00:15:00,2019-09-01 00:20:00,25.300001,25.170353,25.897303,25.4,25.300001,25.1,25.6,25.462346,25.379647,0.0,0.0,0.0,0.0
2019-09-01 00:20:00,2019-09-01 00:25:00,25.310001,25.200001,25.91,25.4,25.300001,25.032346,25.6,25.447659,25.350353,0.0,0.0,0.0,0.001831027
2019-09-01 00:25:00,2019-09-01 00:30:00,25.330001,25.172697,25.9,25.4,25.310001,25.047657,25.6,25.432343,25.4,0.0,0.0,0.0,79.6875
2019-09-01 00:30:00,2019-09-01 00:35:00,25.310358,25.197304,25.9,25.4,25.300001,25.042698,25.6,25.437307,25.4,0.0,0.0,0.0,105.0
2019-09-01 00:35:00,2019-09-01 00:40:00,25.319647,25.200001,25.892692,25.4,25.300001,25.056953,25.610003,25.410354,25.4,0.0,0.0,0.0,0.0
2019-09-01 00:40:00,2019-09-01 00:45:00,25.310001,25.190001,25.897307,25.4,25.300001,25.090003,25.6,25.462344,25.389997,0.0,0.0,0.0,0.0
2019-09-01 00:45:00,2019-09-01 00:50:00,25.330003,25.190001,25.9,25.4,25.300001,25.020352,25.6,25.43,25.379997,0.0,0.0,0.0,0.0
2019-09-01 00:50:00,2019-09-01 00:55:00,25.320003,25.220001,25.889997,25.4,25.300001,25.04,25.660006,25.400352,25.399647,0.0,0.0,0.0,0.0
2019-09-01 00:55:00,2019-09-01 01:00:00,25.310003,25.180003,25.9,25.4,25.300001,25.059648,25.610003,25.43,25.350353,0.0,0.0,0.0,0.0
2019-09-01 01:00:00,2019-09-01 01:05:00,25.340001,25.209993,25.9,25.4,25.300001,25.040348,25.6,25.426946,25.399647,0.0,0.0,0.0,0.0
2019-09-01 01:05:00,2019-09-01 01:10:00,25.347652,25.200001,25.909997,25.4,25.300001,25.06,25.630003,25.429997,25.380353,0.0,0.0,0.0,0.0
2019-09-01 01:10:00,2019-09-01 01:15:00,25.322344,25.180003,25.9,25.4,25.300001,25.059646,25.600355,25.432696,25.4,0.0,0.0,0.0,0.0
2019-09-01 01:15:00,2019-09-01 01:20:00,25.300001,25.200001,25.9,25.4,25.310001,25.042693,25.609646,25.449997,25.372341,0.0,0.0,0.0,0.0
2019-09-01 01:20:00,2019-09-01 01:25:00,25.300001,25.200001,25.877305,25.4,25.300001,25.059998,25.6,25.41,25.377659,0.0,0.0,0.0,0.0
2019-09-01 01:25:00,2019-09-01 01:30:00,25.300001,25.180001,25.892695,25.4,25.310001,25.080353,25.6,25.437303,25.4,0.0,0.0,0.0,0.0
2019-09-01 01:30:00,2019-09-01 01:35:00,25.300001,25.200001,25.892695,25.4,25.300001,25.027303,25.6,25.402694,25.39,0.0,0.0,0.0,0.0
2019-09-01 01:35:00,2019-09-01 01:40:00,25.282339,25.170003,25.897305,25.4,25.300001,25.07,25.6,25.417307,25.39,0.0,0.0,0.0,129.9365234
2019-09-01 01:40:00,2019-09-01 01:45:00,25.287663,25.200001,25.9,25.4,25.300001,25.05,25.62,25.402692,25.4,0.0,0.0,0.0,95.35182953
2019-09-01 01:45:00,2019-09-01 01:50:00,25.300001,25.182693,25.9,25.4,25.300001,25.029646,25.6,25.4,25.372692,0.0,0.0,0.0,0.0
2019-09-01 01:50:00,2019-09-01 01:55:00,25.300001,25.187306,25.9,25.4,25.300001,25.002695,25.619998,25.4,25.379999,0.0,0.0,0.0,0.0
2019-09-01 01:55:00,2019-09-01 02:00:00,25.300001,25.189998,25.889997,25.4,25.300001,25.0,25.6,25.410357,25.359647,0.0,0.0,0.0,0.0
2019-09-01 02:00:00,2019-09-01 02:05:00,25.289998,25.200001,25.9,25.4,25.300001,25.037664,25.6,25.436947,25.357667,0.0,0.0,0.0,0.0
2019-09-01 02:05:00,2019-09-01 02:10:00,25.290001,25.190003,25.919994,25.4,25.300001,25.04,25.6,25.42269,25.359998,0.0,0.0,0.0,0.0
2019-09-01 02:10:00,2019-09-01 02:15:00,25.330001,25.180001,25.870003,25.4,25.300001,25.022686,25.6,25.420002,25.392694,0.0,0.0,0.0,0.0
2019-09-01 02:15:00,2019-09-01 02:20:00,25.310353,25.200001,25.9,25.4,25.300001,25.046949,25.61,25.430357,25.387303,0.0,0.0,0.0,0.0
2019-09-01 02:20:00,2019-09-01 02:25:00,25.309647,25.200001,25.9,25.4,25.300001,25.043047,25.6,25.41,25.4,0.0,0.0,0.0,0.0
2019-09-01 02:25:00,2019-09-01 02:30:00,25.35,25.192339,25.9,25.4,25.300001,25.066956,25.6,25.409645,25.372692,0.0,0.0,0.0,0.0
2019-09-01 02:30:00,2019-09-01 02:35:00,25.327668,25.167665,25.9,25.4,25.300001,25.013051,25.6,25.41,25.389638,0.0,0.0,0.0,0.0
2019-09-01 02:35:00,2019-09-01 02:40:00,25.352336,25.200001,25.9,25.4,25.300001,25.049996,25.62,25.410002,25.387667,0.0,0.0,0.0,0.0
2019-09-01 02:40:00,2019-09-01 02:45:00,25.300001,25.200001,25.9,25.4,25.300001,25.069641,25.6,25.4,25.4,0.0,0.0,0.0,0.0
2019-09-01 02:45:00,2019-09-01 02:50:00,25.310001,25.210001,25.907311,25.39,25.300001,25.077667,25.6,25.4,25.38,0.0,0.0,0.0,0.0
2019-09-01 02:50:00,2019-09-01 02:55:00,25.320001,25.180001,25.902691,25.4,25.300001,25.072339,25.6,25.4,25.39,0.0,0.0,0.0,0.0
2019-09-01 02:55:00,2019-09-01 03:00:00,25.337308,25.190001,25.9,25.4,25.309998,25.047662,25.6,25.447307,25.392338,0.0,0.0,0.0,0.0
2019-09-01 03:00:00,2019-09-01 03:05:00,25.302691,25.200001,25.889997,25.4,25.300001,25.07,25.6,25.40269,25.34767,0.0,0.0,0.0,0.0
2019-09-01 03:05:00,2019-09-01 03:10:00,25.300001,25.190001,25.880356,25.4,25.300001,25.09,25.607312,25.4,25.369647,0.0,0.0,0.0,0.0
2019-09-01 03:10:00,2019-09-01 03:15:00,25.300001,25.200001,25.909291,25.4,25.300001,25.08,25.602689,25.429995,25.360353,0.0,0.0,0.0,0.0
2019-09-01 03:15:00,2019-09-01 03:20:00,25.300001,25.200001,25.900355,25.4,25.300001,25.042686,25.6,25.410002,25.369636,0.0,0.0,0.0,0.0
2019-09-01 03:20:00,2019-09-01 03:25:00,25.310001,25.200001,25.9,25.4,25.300001,25.059567,25.609998,25.4,25.35027,0.0,0.0,0.0,0.0
2019-09-01 03:25:00,2019-09-01 03:30:00,25.300001,25.200001,25.889997,25.4,25.300001,25.030353,25.6,25.400355,25.339645,0.0,0.0,0.0,0.0
2019-09-01 03:30:00,2019-09-01 03:35:00,25.300001,25.200001,25.91,25.4,25.300001,25.069645,25.6,25.446956,25.370356,0.0,0.0,0.0,0.0
2019-09-01 03:35:00,2019-09-01 03:40:00,25.300001,25.190001,25.91,25.4,25.300001,25.030358,25.6,25.442686,25.359998,0.0,0.0,0.0,0.0
2019-09-01 03:40:00,2019-09-01 03:45:00,25.300001,25.179998,25.9,25.4,25.300001,25.077312,25.6,25.419999,25.389643,0.0,0.0,0.0,0.0
2019-09-01 03:45:00,2019-09-01 03:50:00,25.300358,25.200001,25.9,25.4,25.300001,25.07,25.6,25.4,25.340001,0.0,0.0,0.0,0.0
2019-09-01 03:50:00,2019-09-01 03:55:00,25.302332,25.200001,25.91,25.4,25.307668,25.102291,25.6,25.41,25.350002,0.0,0.0,0.0,0.0
2019-09-01 03:55:00,2019-09-01 04:00:00,25.297667,25.180003,25.9,25.389997,25.312336,25.117713,25.6,25.407662,25.360356,0.0,0.0,0.0,0.0
2019-09-01 04:00:00,2019-09-01 04:05:00,25.309646,25.200001,25.9,25.4,25.300001,25.049646,25.6,25.422333,25.349648,0.0,0.0,0.0,0.0
